RuntimeAssembly,RuntimeAssembly.CodeBase,RuntimeAssembly.FullName,RuntimeAssembly.EntryPoint,RuntimeAssembly.DefinedTypes,RuntimeAssembly.IsCollectible,RuntimeAssembly.ManifestModule,RuntimeAssembly.ReflectionOnly,RuntimeAssembly.Location,RuntimeAssembly.ImageRuntimeVersion,RuntimeAssembly.GlobalAssemblyCache,RuntimeAssembly.HostContext,RuntimeAssembly.IsDynamic,RuntimeAssembly.ExportedTypes,RuntimeAssembly.IsFullyTrusted,RuntimeAssembly.CustomAttributes,RuntimeAssembly.EscapedCodeBase,RuntimeAssembly.Modules,RuntimeAssembly.SecurityRuleSet
"InvUIModelBrowser, Version=29.0.16201.1, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/InvUIModelBrowser.dll","InvUIModelBrowser, Version=29.0.16201.1, Culture=neutral, PublicKeyToken=null","","[XamlGeneratedNamespace.GeneratedInternalTypeHelper, Autodesk.Inventor.UIModel.Browser.BrowserNormalIconToolTip...]",False,InvUIModelBrowser.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\InvUIModelBrowser.dll",v4.0.30319,False,0,False,"[XamlGeneratedNamespace.GeneratedInternalTypeHelper, Autodesk.Inventor.UIModel.Browser.BrowserPartEnum...]",True,[[System.Runtime.CompilerServices.CompilationRelaxationsAttribute((Int32)8)]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/InvUIModelBrowser.dll,[InvUIModelBrowser.dll],None
"InvUIModelPropertyPanel, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/InvUIModelPropertyPanel.dll","InvUIModelPropertyPanel, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","","[XamlGeneratedNamespace.GeneratedInternalTypeHelper, Autodesk.Inventor.IPC.TestFramework.TestFrameworkUtility...]",False,InvUIModelPropertyPanel.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\InvUIModelPropertyPanel.dll",v4.0.30319,False,0,False,"[XamlGeneratedNamespace.GeneratedInternalTypeHelper, Autodesk.Inventor.IPC.TestFramework.TestFrameworkUtility...]",True,[[System.Runtime.CompilerServices.ExtensionAttribute()]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/InvUIModelPropertyPanel.dll,[InvUIModelPropertyPanel.dll],None
"InvDockUI, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/InvDockUI.dll","InvDockUI, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","","[Autodesk.Inventor.InvDockUI.BorderDirection, Autodesk.Inventor.InvDockUI.DragHelper, Autodesk.Inventor.InvDockUI.InvDockCommTerm...]",False,InvDockUI.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\InvDockUI.dll",v4.0.30319,False,0,False,"[Autodesk.Inventor.InvDockUI.Module, Autodesk.Inventor.InvDockUI.ModuleInterface]",True,[[System.Runtime.CompilerServices.CompilationRelaxationsAttribute((Int32)8)]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/InvDockUI.dll,[InvDockUI.dll],None
"InvWebBrowserBridge, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/InvWebBrowserBridge.dll","InvWebBrowserBridge, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","","[Autodesk.Inventor.WebBrowserBridge.InvWebBrowserNativeBridge, Autodesk.Inventor.WebBrowserBridge.ModuleInterface...]",False,InvWebBrowserBridge.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\InvWebBrowserBridge.dll",v4.0.30319,False,0,False,"[Autodesk.Inventor.WebBrowserBridge.ModuleInterface, Autodesk.Inventor.WebBrowserBridge.TeamWebManagedWebBrowserFactory...]",True,[[System.Runtime.CompilerServices.CompilationRelaxationsAttribute((Int32)8)]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/InvWebBrowserBridge.dll,[InvWebBrowserBridge.dll],None
"InvIPC, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/InvIPC.dll","InvIPC, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","","[Autodesk.Inventor.IPC.BufferService_Extension, Autodesk.Inventor.IPC.CommException, Autodesk.Inventor.IPC.d_MessageHandler...]",False,InvIPC.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\InvIPC.dll",v4.0.30319,False,0,False,"[Autodesk.Inventor.IPC.BufferService_Extension, Autodesk.Inventor.IPC.CommException, Autodesk.Inventor.IPC.d_MessageHandler...]",True,[[System.Runtime.CompilerServices.ExtensionAttribute()]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/InvIPC.dll,[InvIPC.dll],None
"InvPrompter, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/InvPrompter.dll","InvPrompter, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","","[XamlGeneratedNamespace.GeneratedInternalTypeHelper, Autodesk.Inventor.Prompter.CustomizePage...]",False,InvPrompter.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\InvPrompter.dll",v4.0.30319,False,0,False,"[XamlGeneratedNamespace.GeneratedInternalTypeHelper, Autodesk.Inventor.Prompter.CustomizePage...]",True,[[System.Runtime.CompilerServices.ExtensionAttribute()]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/InvPrompter.dll,[InvPrompter.dll],None
"InvUIModelPropertyPanelRes, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/InvUIModelPropertyPanelRes.dll","InvUIModelPropertyPanelRes, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","","[Autodesk.Inventor.UIModel.PropertyPanel.Resources.Properties.Settings, Autodesk.InventorBuilder.VersionInfo]",False,InvUIModelPropertyPanelRes.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\InvUIModelPropertyPanelRes.dll",v4.0.30319,False,0,False,[],True,[[System.Runtime.CompilerServices.CompilationRelaxationsAttribute((Int32)8)]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/InvUIModelPropertyPanelRes.dll,[InvUIModelPropertyPanelRes.dll],None
"IopManaged, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/IopManaged.dll","IopManaged, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","","[Autodesk.IopManaged.IOPxBOMEditorCommTerm, Autodesk.IopManaged.IOPxBOMEditorCommTermFactory...]",False,IopManaged.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\IopManaged.dll",v4.0.30319,False,0,False,"[Autodesk.IopManaged.IOPxBOMEditorCommTerm, Autodesk.IopManaged.ModuleInterface]",True,[[System.Runtime.CompilerServices.ExtensionAttribute()]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/IopManaged.dll,[IopManaged.dll],None
"AdApplicationFrame, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/AdApplicationFrame.dll","AdApplicationFrame, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","","[Init, <CppImplementationDetails>.$ArrayType$$$BY0BC@$$CBD, <CppImplementationDetails>.$ArrayType$$$BY0BF@$$CBD...]",False,AdApplicationFrame.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\AdApplicationFrame.dll",v4.0.30319,False,0,False,"[Init, InfoCenterEventHandler]",True,"[[System.Runtime.Versioning.TargetFrameworkAttribute("".NETCoreApp,Version=v8.0"", FrameworkDisplayName = "".NET 8.0"")]...]",file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/AdApplicationFrame.dll,[AdApplicationFrame.dll],None
"InvAIRLookContent.resources, Version=29.0.16200.0, Culture=en-US, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/en-US/InvAIRLookContent.resources.dll","InvAIRLookContent.resources, Version=29.0.16200.0, Culture=en-US, PublicKeyToken=null","",[],False,InvAIRLookContent.resources.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\en-US\InvAIRLookContent.resources.dll",v4.0.30319,False,0,False,[],True,"[[System.Reflection.AssemblyTitleAttribute(""InvAIRLookContent"")]...]",file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/en-US/InvAIRLookContent.resources.dll,[InvAIRLookContent.resources.dll],None
"AdUiaSupport, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/AdUiaSupport.dll","AdUiaSupport, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","","[AdUiaSupport.Uia.UiaAccessibleFactory, AdUiaSupport.Uia.UiaElementSerializationVisibility...]",False,AdUiaSupport.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\AdUiaSupport.dll",v4.0.30319,False,0,False,"[AdUiaSupport.Uia.UiaAccessibleFactory, AdUiaSupport.Uia.UiaElementSerializationVisibility...]",True,[[System.Runtime.CompilerServices.CompilationRelaxationsAttribute((Int32)8)]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/AdUiaSupport.dll,[AdUiaSupport.dll],None
"Microsoft.Xaml.Behaviors, Version=1.1.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/Microsoft.Xaml.Behaviors.dll","Microsoft.Xaml.Behaviors, Version=1.1.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a","","[ThisAssembly, Microsoft.Xaml.Behaviors.AttachableCollection`1[T], Microsoft.Xaml.Behaviors.Behavior`1[T]...]",False,Microsoft.Xaml.Behaviors.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\Microsoft.Xaml.Behaviors.dll",v4.0.30319,False,0,False,"[Microsoft.Xaml.Behaviors.AttachableCollection`1[T], Microsoft.Xaml.Behaviors.Behavior`1[T], Microsoft.Xaml.Behaviors.Behavior...]",True,[[System.Runtime.CompilerServices.ExtensionAttribute()]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/Microsoft.Xaml.Behaviors.dll,[Microsoft.Xaml.Behaviors.dll],None
"InvAIRLookImagesDark, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/InvAIRLookImagesDark.dll","InvAIRLookImagesDark, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","",[Autodesk.InventorBuilder.VersionInfo],False,InvAIRLookImagesDark.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\InvAIRLookImagesDark.dll",v4.0.30319,False,0,False,[],True,[[System.Runtime.CompilerServices.CompilationRelaxationsAttribute((Int32)8)]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/InvAIRLookImagesDark.dll,[InvAIRLookImagesDark.dll],None
"InvWebBrowser, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/InvWebBrowser.dll","InvWebBrowser, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","","[Autodesk.Inventor.WebBrowser.ECustomScheme, Autodesk.Inventor.WebBrowser.CustomSchemeAttribute...]",False,InvWebBrowser.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\InvWebBrowser.dll",v4.0.30319,False,0,False,"[Autodesk.Inventor.WebBrowser.ECustomScheme, Autodesk.Inventor.WebBrowser.CustomSchemeAttribute...]",True,[[System.Runtime.CompilerServices.CompilationRelaxationsAttribute((Int32)8)]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/InvWebBrowser.dll,[InvWebBrowser.dll],None
"InvWebBrowserWV2, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/InvWebBrowserWV2.dll","InvWebBrowserWV2, Version=29.0.16200.0, Culture=neutral, PublicKeyToken=null","","[Autodesk.Inventor.WebBrowserWV2.CefSharpBridge, Autodesk.Inventor.WebBrowserWV2.ModuleInterface...]",False,InvWebBrowserWV2.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\InvWebBrowserWV2.dll",v4.0.30319,False,0,False,"[Autodesk.Inventor.WebBrowserWV2.CefSharpBridge, Autodesk.Inventor.WebBrowserWV2.ModuleInterface]",True,[[System.Runtime.CompilerServices.ExtensionAttribute()]...],file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/InvWebBrowserWV2.dll,[InvWebBrowserWV2.dll],None
"InvPrompter.resources, Version=29.0.16200.0, Culture=en-US, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/en-US/InvPrompter.resources.dll","InvPrompter.resources, Version=29.0.16200.0, Culture=en-US, PublicKeyToken=null","",[],False,InvPrompter.resources.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\en-US\InvPrompter.resources.dll",v4.0.30319,False,0,False,[],True,"[[System.Reflection.AssemblyTitleAttribute(""InvPrompter"")]...]",file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/en-US/InvPrompter.resources.dll,[InvPrompter.resources.dll],None
"ClrAddinLoader, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/ClrAddinLoader.dll","ClrAddinLoader, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","","[<CppImplementationDetails>.$ArrayType$$$BY00$$CB_W, IUnknown, _GUID, ClrAddinClassFactory, gcroot<ClrAddinAssemblyResolver ^>...]",False,ClrAddinLoader.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\ClrAddinLoader.dll",v4.0.30319,False,0,False,[],True,"[[System.Runtime.Versioning.TargetFrameworkAttribute("".NETCoreApp,Version=v8.0"", FrameworkDisplayName = "".NET 8.0"")]...]",file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/ClrAddinLoader.dll,[ClrAddinLoader.dll],None
"StateWindow.InventorAddin, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null",file:///C:/Users/twarner/AppData/Roaming/Autodesk/ApplicationPlugins/StateWindow.InventorAddin.bundle/Contents/StateWindow.InventorAddin.dll,"StateWindow.InventorAddin, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null","",[CommunityToolkit.Mvvm.ComponentModel.__Internals.__KnownINotifyPropertyChangingArgs...],False,StateWindow.InventorAddin.dll,False,C:\Users\twarner\AppData\Roaming\Autodesk\ApplicationPlugins\StateWindow.InventorAddin.bundle\Contents\StateWindow.InventorAddin.dll,v4.0.30319,False,0,False,"[XamlGeneratedNamespace.GeneratedInternalTypeHelper, StateWindow.InventorAddin.AddinServer, StateWindow.InventorAddin.Settings...]",True,[[System.Runtime.CompilerServices.ExtensionAttribute()]...],file:///C:/Users/twarner/AppData/Roaming/Autodesk/ApplicationPlugins/StateWindow.InventorAddin.bundle/Contents/StateWindow.InventorAddin.dll,[StateWindow.InventorAddin.dll],None
"StateWindow.InventorShared, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null",file:///C:/Users/twarner/AppData/Roaming/Autodesk/ApplicationPlugins/StateWindow.InventorAddin.bundle/Contents/StateWindow.InventorShared.dll,"StateWindow.InventorShared, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null","","[StateWindow.InventorShared.Utils.DocumentUtils, StateWindow.InventorShared.Utils.ExportUtils...]",False,StateWindow.InventorShared.dll,False,C:\Users\twarner\AppData\Roaming\Autodesk\ApplicationPlugins\StateWindow.InventorAddin.bundle\Contents\StateWindow.InventorShared.dll,v4.0.30319,False,0,False,"[StateWindow.InventorShared.Utils.DocumentUtils, StateWindow.InventorShared.Utils.ExportUtils...]",True,[[System.Runtime.CompilerServices.ExtensionAttribute()]...],file:///C:/Users/twarner/AppData/Roaming/Autodesk/ApplicationPlugins/StateWindow.InventorAddin.bundle/Contents/StateWindow.InventorShared.dll,[StateWindow.InventorShared.dll],None
"Autodesk.Inventor.Interop, Version=29.0.0.0, Culture=neutral, PublicKeyToken=d84147f8b4276564","file:///C:/Program Files/Autodesk/Inventor 2025/Bin/Autodesk.Inventor.Interop.dll","Autodesk.Inventor.Interop, Version=29.0.0.0, Culture=neutral, PublicKeyToken=d84147f8b4276564","","[Inventor.AddInAutomation, Inventor.AddInAutomationClass, Inventor.DocumentEventsObject, Inventor.DocumentEventsSink...]",False,Autodesk.Inventor.Interop.dll,False,"C:\Program Files\Autodesk\Inventor 2025\Bin\Autodesk.Inventor.Interop.dll",v4.0.30319,False,0,False,"[Inventor.AddInAutomation, Inventor.AddInAutomationClass, Inventor.DocumentEventsObject, Inventor.DocumentEventsSink...]",True,"[[System.Runtime.InteropServices.ImportedFromTypeLibAttribute(""Inventor"")]...]",file:///C:/Program%20Files/Autodesk/Inventor%202025/Bin/Autodesk.Inventor.Interop.dll,[Autodesk.Inventor.Interop.dll],None
"CommunityToolkit.Mvvm, Version=8.3.0.0, Culture=neutral, PublicKeyToken=4aff67a105548ee2",file:///C:/Users/twarner/AppData/Roaming/Autodesk/ApplicationPlugins/StateWindow.InventorAddin.bundle/Contents/CommunityToolkit.Mvvm.dll,"CommunityToolkit.Mvvm, Version=8.3.0.0, Culture=neutral, PublicKeyToken=4aff67a105548ee2","","[<>f__AnonymousType0`2[<property>j__TPar,<getMethod>j__TPar], <>f__AnonymousType1`2[<interfaceType>j__TPar,<messageType>j__TPar]...]",False,CommunityToolkit.Mvvm.dll,False,C:\Users\twarner\AppData\Roaming\Autodesk\ApplicationPlugins\StateWindow.InventorAddin.bundle\Contents\CommunityToolkit.Mvvm.dll,v4.0.30319,False,0,False,"[CommunityToolkit.Mvvm.Messaging.IMessenger, CommunityToolkit.Mvvm.Messaging.IMessengerExtensions...]",True,[[System.Runtime.CompilerServices.ExtensionAttribute()]...],file:///C:/Users/twarner/AppData/Roaming/Autodesk/ApplicationPlugins/StateWindow.InventorAddin.bundle/Contents/CommunityToolkit.Mvvm.dll,[CommunityToolkit.Mvvm.dll],None
"StateWindow.InventorAddin, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null",file:///C:/Users/twarner/AppData/Roaming/Autodesk/ApplicationPlugins/StateWindow.InventorAddin.bundle/Contents/StateWindow.InventorAddin.dll,"StateWindow.InventorAddin, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null","","Exception has been thrown by the target of an invocation.",False,StateWindow.InventorAddin.dll,False,C:\Users\twarner\AppData\Roaming\Autodesk\ApplicationPlugins\StateWindow.InventorAddin.bundle\Contents\StateWindow.InventorAddin.dll,v4.0.30319,False,0,False,"Exception has been thrown by the target of an invocation.",True,[[System.Runtime.CompilerServices.ExtensionAttribute()]...],file:///C:/Users/twarner/AppData/Roaming/Autodesk/ApplicationPlugins/StateWindow.InventorAddin.bundle/Contents/StateWindow.InventorAddin.dll,[StateWindow.InventorAddin.dll],None
